year,emissions_kg_per_s,region,MtCO2_per_year
1946,733.358144356037,uk,23.127182440411982
1947,738.8371440631837,uk,23.29996817517656
1948,721.1279943317523,uk,22.741492429246144
1949,677.8946432261063,uk,21.378085468778487
1950,730.8399015491838,uk,23.047767135255057
1951,798.142147424444,uk,25.170210761177266
1952,943.328815583413,uk,29.74881752823851
1953,926.6353054264582,uk,29.222370991928788
1954,973.2757996632114,uk,30.693225618179035
1955,961.1600977175591,uk,30.311144841620944
1956,1075.432959503312,uk,33.91485381089645
1957,1108.813032219287,uk,34.967527784067435
1958,1082.7778561643224,uk,34.14648247199808
1959,1141.9778774355702,uk,36.01341434280814
1960,1101.7547707882202,uk,34.74493845157731
1961,1192.3120818451803,uk,37.6007538130696
1962,1022.8764681798178,uk,32.25743230051874
1963,1221.7451706839577,uk,38.52895570268929
1964,1104.7788505179951,uk,34.840305829935495
1965,1294.480034985572,uk,40.822722383305
1966,1147.7817834164866,uk,36.19644632182232
1967,1223.023480637027,uk,38.569268485369285
1968,1262.7849867272914,uk,39.82318734143186
1969,1114.4547794779,uk,35.14544592561506
1970,1193.3850927644828,uk,37.63459228542073
1971,1109.022364439075,uk,34.97412928495067
1972,1283.571653229373,uk,40.47871565624151
1973,1221.7353332923096,uk,38.52864547070627
1974,996.3541395295374,uk,31.421024144203493
1975,1261.8403176233226,uk,39.793396256569096
1976,1274.6160226804375,uk,40.19629089125027
1977,1226.3908845827152,uk,38.67546293620051
1978,1071.3280500799067,uk,33.785401387319936
1979,1282.4738427053417,uk,40.444095103555654
1980,1253.3850387481018,uk,39.52675058196014
1981,1363.7149179713895,uk,43.00611365314574
1982,1299.5661168086206,uk,40.98311705967666
1983,1287.8768169297136,uk,40.61448329869545
1984,1268.094284382578,uk,39.990621352288976
1985,1102.301836392964,uk,34.76219071248852
1986,1247.5940175345388,uk,39.344124936969216
1987,1039.6094957034838,uk,32.785125056505066
1988,1303.0555403504277,uk,41.09315952049109
1989,1244.1477663623225,uk,39.23544396000221
1990,1348.2708045781053,uk,42.51906809317512
1991,1234.4253978338704,uk,38.928839346088935
1992,1198.8451217590675,uk,37.806779759793955
1993,1453.2172748520734,uk,45.82865997973499
1994,1248.919311275228,uk,39.385919400375585
1995,1133.561184697439,uk,35.747985520618435
1996,998.8050129176794,uk,31.498314887371937
1997,1282.3564853997902,uk,40.440394123567785
1998,1269.5721857999824,uk,40.037228451388245
1999,1153.681171780959,uk,36.38248943328433
2000,1258.2469966369854,uk,39.68007728594397
2001,1229.2294768535592,uk,38.76498078205384
2002,1204.996017745328,uk,38.00075441561666
2003,1126.1212874410703,uk,35.51336092074159
2004,1305.8797355732631,uk,41.18222334103843
2005,1267.5316286168093,uk,39.9728774400597
2006,1811.1815646455923,uk,57.117421822663395
2007,1289.1305091607758,uk,40.65401973689423
2008,1423.2622134061905,uk,44.883997161977625
2009,1328.715666256535,uk,41.90237725106609
2010,1415.2105851767794,uk,44.630081014134916
2011,1283.764361659061,uk,40.48479290928015
2012,1472.8970663587545,uk,46.44928188468968
2013,1377.1357966605417,uk,43.42935448348684
2014,1413.7052632853329,uk,44.58260918296625
1850,975.3220623252713,germany,30.757756557489756
1851,961.8559213166158,germany,30.33308833464079
1852,1102.5554376649532,germany,34.770188282201964
1853,1100.884920633768,germany,34.71750685710651
1854,957.5114215978683,germany,30.196080191510376
1855,948.1778235715169,germany,29.901735844151357
1856,1039.1817295295566,germany,32.771635022444094
1857,1194.6491579798585,germany,37.674455846052815
1858,1123.623723869847,germany,35.434597755959494
1859,1109.370149357498,germany,34.98509703013806
1860,1067.6326922916405,germany,33.66886458410918
1861,1040.3901911519115,germany,32.80974506816668
1862,937.5962163055468,germany,29.568034277411723
1863,1042.6419804754364,germany,32.88075749627336
1864,1016.525491989814,germany,32.05714791539077
1865,1028.4311112825028,germany,32.43260352540501
1866,1181.5600362674104,germany,37.26167730372906
1867,1097.312034522933,germany,34.60483232071521
1868,1112.4942085967718,germany,35.0836173623078
1869,1110.9867912942893,germany,35.03607945025671
1870,989.6359756392694,germany,31.20916012776
1871,1086.4117659990377,germany,34.26108145254565
1872,1123.3719099688917,germany,35.42665655277897
1873,1143.0218839919737,germany,36.046338133570885
1874,1122.0178320030761,germany,35.38395435004901
1875,1039.5911054322598,germany,32.78454510091175
1876,1058.184192117599,germany,33.370896682620604
1877,1151.9536529166653,germany,36.32801039837996
1878,1052.5349227130503,germany,33.192741322678756
1879,1097.7590001463207,germany,34.61892782861437
1880,1041.9874894056554,germany,32.86011746589675
1881,1172.6580304110591,germany,36.98094364704316
1882,1093.613613356443,germany,34.488198910808784
1883,1164.5566997898004,germany,36.72546008457115
1884,1156.7793921419361,germany,36.4801949105881
1885,1158.822274437987,germany,36.54461924667636
1886,998.4628057462108,germany,31.487523042012505
1887,1169.2355756729692,germany,36.873013114422754
1888,1093.728640489043,germany,34.491826406462465
1889,1124.1252137151857,germany,35.4504127397221
1890,1137.5201429147592,germany,35.87283522695984
1891,1177.4067513889102,germany,37.13069931180067
1892,1142.0305579977796,germany,36.015075677017975
1893,1154.6758772941068,germany,36.41385846634695
1894,1170.1656404182652,germany,36.902343636230405
1895,1367.0990790832404,germany,43.11283655796907
1896,1379.0311509320338,germany,43.489126375792615
1897,1348.7707528615244,germany,42.53483446224104
1898,1396.924373357746,germany,44.053407038209876
1899,1348.0932138774633,germany,42.51346759283968
1900,1600.9654357609106,germany,50.48804598215607
1901,1443.9060997321692,germany,45.535022761153684
1902,1606.9899818017311,germany,50.678036066099395
1903,1757.9085545409307,germany,55.437404176002794
1904,1645.0692611813954,germany,51.878904220616484
1905,1614.1701914714824,germany,50.90447115824467
1906,1880.8008280194663,germany,59.31293491242189
1907,1720.0089901967792,germany,54.24220351484563
1908,1876.2632088934818,germany,59.169836555664844
1909,2029.0165567495562,germany,63.987066133654004
1910,1900.8073497199812,germany,59.943860580769325
1911,1356.9542176016978,germany,42.79290820628714
1912,1430.0595123122905,germany,45.0983567802804
1913,1339.9288495969597,germany,42.255996200889726
1914,1298.405960991845,germany,40.94653038583882
1915,1322.966527891163,germany,41.72107242357571
1916,1355.7229554763383,germany,42.7540791239018
1917,1444.7643745148698,germany,45.562089314700934
1918,1382.4257892686521,germany,43.59617969037621
1919,1255.8678547667605,germany,39.605048667924564
1920,1380.1128577931486,germany,43.52323908336473
1921,1627.7812413806394,germany,51.33370922817984
1922,1643.4561694391239,germany,51.828033759432216
1923,1741.1402120433092,germany,54.908597726997805
1924,1667.7883515948552,germany,52.595373455895356
1925,1631.7440836393182,germany,51.45868142164954
1926,1329.0785513233375,germany,41.913821194532765
1927,1567.3723811371317,germany,49.42865541154059
1928,1372.426930531277,germany,43.28085568123435
1929,1339.161059634878,germany,42.231783176645514
1930,1460.9245607895434,germany,46.071716949059045
1931,1394.0673038365978,germany,43.963306493790945
1932,1311.6915365639463,germany,41.36550429708061
1933,1432.3370148948186,germany,45.170180101723
1934,1549.68366586052,germany,48.870824086577365
1935,1416.785784843266,germany,44.67975651081723
1936,1422.998004738144,germany,44.875665077422106
1937,1575.0152786024546,germany,49.669681826007015
1938,1419.6421040971638,germany,44.76983339480816
1939,1599.6989915854494,germany,50.44810739863873
1940,1448.4813788850252,germany,45.67930876451815
1941,1479.309182410471,germany,46.651494376496615
1942,1363.1244634341554,germany,42.98749307885952
1943,1379.4868208040425,germany,43.50349638087628
1944,1508.381546875925,germany,47.568320462279175
1945,1300.3627943680021,germany,41.00824108318932
1946,1404.8953526017087,germany,44.30477983964748
1947,1448.74942707687,germany,45.687761932296176
1948,1396.3346427406016,germany,44.03480929346761
1949,1330.9973606659337,germany,41.97433276596088
1950,1488.9586845429449,germany,46.95580107574631
1951,1728.6837626583383,germany,54.51577113919336
1952,1862.7715070236118,germany,58.74436224549662
1953,1799.2743673421357,germany,56.74191644850159
1954,2042.2831153870109,germany,64.40544032684477
1955,1781.5028354792057,germany,56.18147341967224
1956,2170.2817871322954,germany,68.44200643900406
1957,2211.703560959409,germany,69.74828349841593
1958,2005.0715994067757,germany,63.23193795889208
1959,2159.431944246641,germany,68.09984579376206
1960,1844.7008593806306,germany,58.174486301427564
1961,2377.4701514768108,germany,74.9758986969727
1962,2161.8452796646125,germany,68.17595273950322
1963,2319.298408597361,germany,73.14139461352637
1964,2247.448779651418,germany,70.87554471508713
1965,2422.455074722557,germany,76.39454323645056
1966,2306.1745853224484,germany,72.72752172272872
1967,2419.6370408303023,germany,76.30567371962442
1968,2328.300013052088,germany,73.42526921161065
1969,2379.529625535312,germany,75.04084627088159
1970,2270.054995178522,germany,71.58845432794988
1971,2208.02556889037,germany,69.6322943405267
1972,2574.2285203959914,germany,81.18087061920798
1973,2383.120195809603,germany,75.15407849505164
1974,2303.0639014329513,germany,72.62942319558955
1975,2659.2371121744723,germany,83.86170156953416
1976,2511.047687357264,germany,79.18839986849868
1977,2529.4737125599295,germany,79.76948299928993
1978,2610.576319445389,germany,82.32713481002979
1979,2520.013971648705,germany,79.47116060991355
1980,2672.7476518682297,germany,84.2877699493165
1981,2658.3902230658546,germany,83.83499407460478
1982,2916.8560122081776,germany,91.98597120099708
1983,2392.094868838865,germany,75.43710378370244
1984,2755.491949330351,germany,86.89719411408196
1985,2555.0882307496854,germany,80.57726244492207
1986,2561.976201442642,germany,80.79448148869515
1987,2236.8753606261357,germany,70.54210137270582
1988,2820.5982152081656,germany,88.9503853148047
1989,2424.8002272396816,germany,76.46849996623061
1990,2882.710000622816,germany,90.90914257964113
1991,2712.3300864074286,germany,85.53604160494467
1992,2494.8842975164084,germany,78.67867120647746
1993,2970.4641965536125,germany,93.67655890251473
1994,2424.370049354759,germany,76.45493387645168
1995,2737.320713833263,germany,86.32414603144579
1996,2432.2487755402776,germany,76.70339738543821
1997,2664.0782500725404,germany,84.01437169428763
1998,2697.582302609421,germany,85.0709554950907
1999,2253.490515307487,germany,71.06607689073691
2000,2878.968347946453,germany,90.79114582083935
2001,2751.052799024785,germany,86.75720107004562
2002,2542.1219950865907,germany,80.16835923705072
2003,2648.643333157259,germany,83.52761615444732
2004,3076.620116301617,germany,97.0242919876878
2005,3146.994418114867,germany,99.24361596967046
2006,2345.2081766204315,germany,73.95848505790194
2007,2732.765888941972,germany,86.18050507367404
2008,3231.8947646600095,germany,101.92103329831805
2009,3167.0771000594127,germany,99.87694342747363
2010,3163.4698246771695,germany,99.76318439101921
2011,2562.356933477821,germany,80.80648825415655
2012,3100.245632045158,germany,97.7693462521761
2013,2957.6699921396576,germany,93.27308087211624
2014,3041.3977276564124,germany,95.91351873937262
1850,2259.1107791231757,russia,71.24331753042847
1851,6044.5212000201245,russia,190.62002056383466
1852,6101.137333328622,russia,192.40546694385142
1853,5970.264146703078,russia,188.2782501304283
1854,6268.548408350652,russia,197.68494260574616
1855,6402.726907066733,russia,201.91639574125648
1856,6898.022396370994,russia,217.53603429195564
1857,6649.504807258814,russia,209.69878360171396
1858,6783.736779139114,russia,213.93192306693112
1859,6911.2715286549255,russia,217.95385892766174
1860,6879.892933128413,russia,216.9643035391376
1861,6163.7711831101815,russia,194.38068803056268
1862,6047.2899758292915,russia,190.70733667775252
1863,6237.7234455906555,russia,196.7128465801469
1864,6507.691167934475,russia,205.2265486719816
1865,6841.354323899865,russia,215.74894995850616
1866,6118.457225874511,russia,192.9516670751786
1867,6226.9899751803705,russia,196.37435585728818
1868,5818.247864075573,russia,183.48426464148724
1869,5932.612003666735,russia,187.09085214763417
1870,6626.377803677778,russia,208.96945041678237
1871,6942.534946150886,russia,218.93978206181433
1872,7087.394923998662,russia,223.5080863232218
1873,7643.676649809561,russia,241.05098682839431
1874,7518.636096349939,russia,237.10770793449166
1875,7967.366862261439,russia,251.25888136827675
1876,7344.114557270516,russia,231.603996678083
1877,7774.06965416127,russia,245.1630606136298
1878,7686.685515859094,russia,242.4073144281324
1879,8193.143849805761,russia,258.37898444747447
1880,8171.706387142549,russia,257.7029326249274
1881,7943.218718917604,russia,250.49734551978554
1882,8369.516785790343,russia,263.94108135668426
1883,8570.262413518025,russia,270.2717954727044
1884,8587.487146319378,russia,270.8149946463279
1885,9112.039648349322,russia,287.35728235034424
1886,9038.778889093586,russia,285.0469310464553
1887,8246.40422675471,russia,260.05860369493655
1888,8966.860616991738,russia,282.77891641745146
1889,9250.14413349871,russia,291.7125453940153
1890,9381.140584355706,russia,295.8436494682415
1891,9764.450829921096,russia,307.9317213723917
1892,9713.007573707395,russia,306.3094068444364
1893,10054.120851202451,russia,317.0667551635205
1894,9558.371479976422,russia,301.43280299253644
1895,9386.184839483163,russia,296.00272509794104
1896,10091.084116148186,russia,318.2324286868492
1897,9949.893579084748,russia,313.7798439100166
1898,10758.428765886356,russia,339.2778095609921
1899,11047.010861268236,russia,348.3785345209551
1900,10659.361849275905,russia,336.15363527876497
