year,emissions_GtCO2_per_year,CO2_in_atmosphere_GtCO2
1949,4.972714703585702,2429.3634536512395
1950,4.9947845327852916,2433.834618447945
1951,5.235952333269316,2434.373124055038
1952,5.439259151678796,2432.235075315664
1953,5.426149736794467,2438.6225098896907
1954,5.565608020497022,2440.688005090701
1955,5.641836930078526,2442.987633431016
1956,5.7101228732165525,2442.1352472647914
1957,5.744797733008815,2444.986461149704
1958,5.982983674620366,2451.7281546480567
1959,5.9260523914182714,2453.443015309498
1960,6.074398720838961,2454.6148665600053
1961,5.416472331874954,2457.2199022004634
1962,5.548122862244331,2461.8813718690108
1963,5.50803687963768,2470.081769405942
1964,5.625852498008155,2470.639133206091
1965,5.623823870660578,2474.032278503548
1966,5.594872808489764,2479.073436878081
1967,5.679700148813137,2493.3089718654123
1968,5.647551603419921,2496.4702685637535
1969,5.916978701878819,2497.321102874426
1970,5.827825155631776,2506.5023492909363
1971,5.776469848077022,2512.732321546078
1972,5.936118494774292,2524.921562814242
1973,5.919191959802879,2535.662106573964
1974,5.860842593440853,2546.7381325297597
1975,6.022184985942178,2554.915538276272
1976,5.995686667276954,2563.0447359700847
1977,6.140564012595982,2571.2231245797357
1978,6.081389432527138,2579.4686841059615
1979,6.4612001102800285,2588.939494110037
1980,6.314347190060538,2599.2661395604223
1981,6.403652134422649,2614.6143909793723
1982,6.5830738044746155,2633.9127290806946
1983,6.698903638893343,2638.0505171947125
1984,6.662646560242908,2643.217561489181
1985,6.746950262356781,2654.8658491068713
1986,6.838543420846039,2667.359182911978
1987,6.722598316305805,2681.221804073534
1988,6.935494181040009,2693.184308642693
1989,6.935768219730291,2705.8527340476303
1990,6.951015639592173,2723.2196022202056
1991,6.850272000542572,2736.5288957000075
1992,6.899670144284577,2742.365088845123
1993,7.03107046219038,2745.9335891463434
1994,6.736441802833327,2761.1928061472336
1995,6.8448277609778705,2770.6204894420534
1996,6.770621987812681,2778.403541202162
1997,6.920344141755304,2787.106416455845
1998,6.808088919043343,2801.6031289416765
1999,6.803133786049362,2818.187048426881
2000,6.978254755646066,2836.3413286995883
2001,7.291796144067908,2851.282279908362
2002,6.768320244420058,2863.4469542369134
2003,7.100163753254578,2870.9768808189147
2004,7.394999175064529,2892.961943777196
2005,7.4123685751882915,2908.915829226087
2006,6.8658530834797595,2918.2795348690174
2007,7.163185141344069,2930.9558543487237
2008,7.1082642358761206,2947.857377772831
2009,7.223619336657647,2966.5531934014953
2010,8.527984479112572,2981.8232594257815
2011,7.23961367578999,2991.2737043767206
2012,7.540482577702671,3010.3054635085587
2013,7.903526826336597,3034.050496183707
2014,7.977839746109347,3044.265690310796
